Time,Continuous Diameter (cm),Shear Rate (1/s),,,,,,,,,,,,,,,,,,,,,,,,,Pre,During,,baselinesrauc,,17991.831
0,0.55,460,,,,,,,,,,,,,,,,,,,,,,,,mean QICA,204.3215,201.66968,,,,
1,0.552,416,,,,,,,,,,,,,,,,,,,,,,,,mean ICAv,41.13142,43.14319,,,,
2,0.543,365,,,,,,,,,,,,,,,,,,,,WorkSheet,1-cFMD,1-cFMD,,,,,,,,
3,0.547,479,,,,,,,,,,,,,,,,,,,,Parameter,Continuous Diameter (cm),Shear Rate (1/s),,,,,,,,
4,0.549,286,,,,,,,,,,,,,,,,,,,,Start Time,102,60,,,,,,,,
5,0.554,301,,,,,,,,,,,,,,,,,,,,Start-Offset,42,0,,,,,,,,
6,0.549,486,,,,,,,,,,,,,,,,,,,,Peak Time,155,104,,,,,,,,
7,0.554,237,,,,,,,,,,,,,,,,,,,,Peak-Offset,95,44,,,,,,,,
8,0.543,438,,,,,,,,,,,,,,,,,,,,Baseline,0.537,303.679,,,,,,,,
9,0.553,436,,,,,,,,,,,,,,,,,,,,Peak,0.554,397.52,,,,,,,,
10,0.561,407,,,,,,,,,,,,,,,,,,,,% Change,3.268,30.901,,,,,,,,
11,0.538,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.56,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.548,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.547,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.553,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.539,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.537,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.533,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.523,317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.539,323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.551,446,,,,,,,,,,,,,,,,,,,,Continuous Diameter (cm),102,42,155,95,0.537,0.554,3.268,,,
22,0.529,337,,,,,,,,,,,,,,,,,,,,Shear Rate (1/s),60,0,104,44,303.679,397.52,30.901,,,
23,0.562,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.534,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.535,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.538,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.539,289,,,,,,,,,,,,,,,,,,,,baseline shear ,305.537377,,,,,,,,,
28,0.554,301,,,,,,,,,,,,,,,,,,shear above baseline from 60sec on,,,,,,,,,,,,
29,0.524,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.538,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.551,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.536,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.545,289,,,,,,,,,,,,,,,,,,305.537377,,,,,,,,,,,,
